Formula,Entry prototype,Notes,Num Elements,2c,2a,6h1,6h2,12k
,,,,0.333 0.667 0.250,0.000 0.000 0.000,0.541 0.083(1) 0.250,0.886 0.773 0.250,0.210 0.419(1) 0.060
Al3Ho10Pd,"Cd3Y10Ru,hP28,194",,3,Pd,Ho,Ho,Al,Ho
Cd3NiY10,"Cd3Y10Ru,hP28,194",,3,Ni,Y,Y,Cd,Y
Cd3CoEr10,"Cd3Y10Ru,hP28,194",,3,Co,Er,Er,Cd,Er
Cd3CoHo10,"Cd3Y10Ru,hP28,194",,3,Co,Ho,Ho,Cd,Ho
Cd3RuY10,"Cd3Y10Ru,hP28,194",,3,Ru,Y,Y,Cd,Y
Al3PdY10,"Cd3Y10Ru,hP28,194",,3,Pd,Y,Y,Al,Y
Al3RhY10,"Cd3Y10Ru,hP28,194",,3,Rh,Y,Y,Al,Y
Al3CoTm10,"Cd3Y10Ru,hP28,194",,3,Co,Tm,Tm,Al,Tm
Cd3CoTm10,"Cd3Y10Ru,hP28,194",,3,Co,Tm,Tm,Cd,Tm
Cd3PdY10,"Cd3Y10Ru,hP28,194",,3,Pd,Y,Y,Cd,Y
Cd3.08Er9.92Fe,"Cd3Y10Ru,hP28,194",,3,Fe,Er0.92Cd0.08,Er,Cd,Er
Cd3CoLu10,"Cd3Y10Ru,hP28,194",,3,Co,Lu,Lu,Cd,Lu
Al3Lu10Rh,"Cd3Y10Ru,hP28,194",,3,Rh,Lu,Lu,Al,Lu
Al3CoDy10,"Cd3Y10Ru,hP28,194",,3,Co,Dy,Dy,Al,Dy
Al3NiY10,"Cd3Y10Ru,hP28,194",,3,Ni,Y,Y,Al,Y
Cd3CoDy10,"Cd3Y10Ru,hP28,194",,3,Co,Dy,Dy,Cd,Dy
Cd3Dy10Fe,"Cd3Y10Ru,hP28,194",,3,Fe,Dy,Dy,Cd,Dy
Cd3FeY10,"Cd3Y10Ru,hP28,194",,3,Fe,Y,Y,Cd,Y
Cd3CoTb10,"Cd3Y10Ru,hP28,194",,3,Co,Tb,Tb,Cd,Tb
Al3CoLu10,"Cd3Y10Ru,hP28,194",,3,Co,Lu,Lu,Al,Lu
Al3CoY10,"Cd3Y10Ru,hP28,194",,3,Co,Y,Y,Al,Y
Al3CoHo10,"Cd3Y10Ru,hP28,194",,3,Co,Ho,Ho,Al,Ho
Al3NiTm10,"Cd3Y10Ru,hP28,194",,3,Ni,Tm,Tm,Al,Tm
Cd3.18Er9.82Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Er0.82Cd0.18,Er,Cd,Er
Cd3FeTm10,"Cd3Y10Ru,hP28,194",,3,Fe,Tm,Tm,Cd,Tm
Cd3FeLu10,"Cd3Y10Ru,hP28,194",,3,Fe,Lu,Lu,Cd,Lu
Cd2.90Co1.10Y10,"Cd3Y10Ru,hP28,194",,3,Co,Y,Y,Cd0.966Co0.034,Y
Al3Lu10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Lu,Lu,Al,Lu
Al3RuY10,"Cd3Y10Ru,hP28,194",,3,Ru,Y,Y,Al,Y
Al3CoEr10,"Cd3Y10Ru,hP28,194",,3,Co,Er,Er,Al,Er
Cd3Lu10Rh,"Cd3Y10Ru,hP28,194",,3,Rh,Lu,Lu,Cd,Lu
Cd3PdTm10,"Cd3Y10Ru,hP28,194",,3,Pd,Tm,Tm,Cd,Tm
Cd3Ho10Ir,"Cd3Y10Ru,hP28,194",,3,Ir,Ho,Ho,Cd,Ho
Cd3IrTb10,"Cd3Y10Ru,hP28,194",,3,Ir,Tb,Tb,Cd,Tb
Cd3Lu10Os,"Cd3Y10Ru,hP28,194",,3,Os,Lu,Lu,Cd,Lu
Cd3IrLu10,"Cd3Y10Ru,hP28,194",,3,Ir,Lu,Lu,Cd,Lu
Cd3PtY10,"Cd3Y10Ru,hP28,194",,3,Pt,Y,Y,Cd,Y
Cd3Lu10Pt,"Cd3Y10Ru,hP28,194",,3,Pt,Lu,Lu,Cd,Lu
Cd3IrTm10,"Cd3Y10Ru,hP28,194",,3,Ir,Tm,Tm,Cd,Tm
Cd3RhTm10,"Cd3Y10Ru,hP28,194",,3,Rh,Tm,Tm,Cd,Tm
Cd3Ho10Rh,"Cd3Y10Ru,hP28,194",,3,Rh,Ho,Ho,Cd,Ho
Cd3Er10Ir,"Cd3Y10Ru,hP28,194",,3,Ir,Er,Er,Cd,Er
Cd3PtTm10,"Cd3Y10Ru,hP28,194",,3,Pt,Tm,Tm,Cd,Tm
Cd3.11OsTm9.89,"Cd3Y10Ru,hP28,194",,3,Os,Tm0.886Cd0.114,Tm,Cd,Tm
Cd3Er10Pt,"Cd3Y10Ru,hP28,194",,3,Pt,Er,Er,Cd,Er
Cd2.91Ir1.09Y10,"Cd3Y10Ru,hP28,194",,3,Ir,Y,Y,Cd0.97Ir0.03,Y
Cd3.11Lu9.89Pd,"Cd3Y10Ru,hP28,194",,3,Pd,Lu0.89Cd0.11,Lu,Cd,Lu
Cd3Ho10Pt,"Cd3Y10Ru,hP28,194",,3,Pt,Ho,Ho,Cd,Ho
Cd3Er10Os,"Cd3Y10Ru,hP28,194",,3,Os,Er,Er,Cd,Er
Cd3Dy10Os,"Cd3Y10Ru,hP28,194",,3,Os,Dy,Dy,Cd,Dy
Cd3.07Dy9.93Ir,"Cd3Y10Ru,hP28,194",,3,Ir,Dy0.81Cd0.19,Dy,Cd0.96Dy0.04,Dy
Cd3Dy10Rh,"Cd3Y10Ru,hP28,194",,3,Rh,Dy,Dy,Cd,Dy
Cd3Ho10Os,"Cd3Y10Ru,hP28,194",,3,Os,Ho,Ho,Cd,Ho
Cd3.13OsSm9.87,"Cd3Y10Ru,hP28,194",,3,Os,Sm0.87Cd0.13,Sm,Cd,Sm
Cd3Er10Rh,"Cd3Y10Ru,hP28,194",,3,Rh,Er,Er,Cd,Er
Cd3OsY10,"Cd3Y10Ru,hP28,194",,3,Os,Y,Y,Cd,Y
Cd3Gd10Os,"Cd3Y10Ru,hP28,194",,3,Os,Gd,Gd,Cd,Gd
Cd3OsTb10,"Cd3Y10Ru,hP28,194",,3,Os,Tb,Tb,Cd,Tb
Al3IrLu10,"Cd3Y10Ru,hP28,194",,3,Ir,Lu,Lu,Al,Lu
Al3Er10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Er,Er,Al,Er
Cd3FeHo10,"Cd3Y10Ru,hP28,194",,3,Fe,Ho,Ho,Cd,Ho
Cd3Lu10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Lu,Lu,Cd,Lu
Cd3RuTb10,"Cd3Y10Ru,hP28,194",,3,Ru,Tb,Tb,Cd,Tb
Cd3Ho10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Ho,Ho,Cd,Ho
Al3PtY10,"Cd3Y10Ru,hP28,194",,3,Pt,Y,Y,Al,Y
Al3IrY10,"Cd3Y10Ru,hP28,194",,3,Ir,Y,Y,Al,Y
Al3CoY10,"Cd3Y10Ru,hP28,194",,3,Co,Y,Y,Al,Y
Al3Ho10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Ho,Ho,Al,Ho
Cd3Ho10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Ho,Ho,Cd,Ho
Cd3Dy10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Dy,Dy,Cd,Dy
Al3FeLu10,"Cd3Y10Ru,hP28,194",,3,Fe,Lu,Lu,Al,Lu
Al3Lu10Os,"Cd3Y10Ru,hP28,194",,3,Os,Lu,Lu,Al,Lu
Al3Lu10Pd,"Cd3Y10Ru,hP28,194",,3,Pd,Lu,Lu,Al,Lu
Al3Lu10Pt,"Cd3Y10Ru,hP28,194",,3,Pt,Lu,Lu,Al,Lu
Cd3Lu10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Lu,Lu,Cd,Lu
Cd3RhY10,"Cd3Y10Ru,hP28,194",,3,Rh,Y,Y,Cd,Y
Al3OsY10,"Cd3Y10Ru,hP28,194",,3,Os,Y,Y,Al,Y
Cd3RuTm10,"Cd3Y10Ru,hP28,194",,3,Ru,Tm,Tm,Cd,Tm
Cd3NiTm10,"Cd3Y10Ru,hP28,194",,3,Ni,Tm,Tm,Cd,Tm
Cd3Dy10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Dy,Dy,Cd,Dy
Cd3Er10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Er,Er,Cd,Er
